,title,keywords,cited_by_count,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,title_keywords
0,Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media,Surfactant;Microalgae;Chlorococcum;Biofilm;Photobioreactor,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media Surfactant;Microalgae;Chlorococcum;Biofilm;Photobioreactor
1,Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes,Cytotoxicity;Cyanidin;Malvidin;Anthocyanins;Insulin fibrils,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes Cytotoxicity;Cyanidin;Malvidin;Anthocyanins;Insulin fibrils
2,Metformin delivery via iontophoresis based on κ-carrageenan cryogels,Transdermal drug delivery;κ-Carrageenan;Metformin,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metformin delivery via iontophoresis based on κ-carrageenan cryogels Transdermal drug delivery;κ-Carrageenan;Metformin
3,Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,CO2 capture;CO2 absorption;Amine blends;Equilibrium CO2 solubility;Catalytic CO2 desorption,7.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter CO2 capture;CO2 absorption;Amine blends;Equilibrium CO2 solubility;Catalytic CO2 desorption
4,High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface,Single-atom catalysts;Tungsten diboride;Electrocatalysis;High-throughput screening;Nitrogen reduction reaction,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface Single-atom catalysts;Tungsten diboride;Electrocatalysis;High-throughput screening;Nitrogen reduction reaction
